aX,aY,aZ,gX,gY,gZ
0.985,3.273,2.825,-188.354,43.701,173.218
1.322,3.562,2.478,-167.419,100.220,114.258
1.475,3.422,2.089,-132.202,136.169,44.556
1.494,2.978,1.669,-92.773,152.893,-25.879
1.348,2.423,1.357,-57.739,158.936,-92.468
1.112,1.921,1.108,-31.860,159.302,-152.161
0.870,1.269,1.012,-3.479,151.123,-199.280
0.647,0.856,0.969,-6.714,147.766,-226.807
0.373,0.460,0.625,-28.320,152.954,-244.507
0.179,0.011,0.528,-35.522,156.372,-251.038
0.138,-0.414,0.239,-50.476,165.405,-247.864
0.001,-0.828,0.084,-77.087,176.941,-236.084
-0.003,-1.128,-0.068,-107.422,186.279,-215.088
-0.038,-1.155,-0.336,-138.672,198.425,-183.228
-0.082,-1.432,-0.462,-181.519,201.904,-144.165
-0.045,-1.642,-0.998,-201.416,198.853,-112.976
0.001,-1.828,-1.339,-183.716,183.350,-91.309
0.038,-1.869,-1.505,-157.837,153.259,-71.838
0.144,-1.883,-1.569,-118.469,122.131,-57.800
0.179,-1.861,-1.657,-70.007,89.539,-47.974
0.171,-1.975,-1.844,-22.339,59.875,-37.842
0.168,-2.100,-1.929,38.940,26.184,-31.372
0.188,-2.131,-1.794,86.243,-13.611,-16.235
0.246,-2.082,-1.587,113.831,-51.758,9.399
0.299,-1.916,-1.410,122.498,-85.144,40.161
0.300,-1.680,-1.252,128.235,-116.333,69.519
0.302,-1.454,-1.079,136.719,-145.874,93.506
0.308,-1.249,-0.857,147.949,-173.035,110.840
0.253,-1.051,-0.613,157.776,-194.458,121.582
0.183,-0.836,-0.331,169.250,-214.600,126.526
0.180,-0.626,0.061,182.678,-237.061,130.493
0.326,-0.386,0.746,200.684,-255.737,133.240
0.485,-0.132,1.084,204.102,-261.902,136.230
0.475,0.112,1.322,170.288,-262.756,149.170
0.591,0.409,1.835,148.499,-254.578,162.598
0.684,0.781,2.229,114.807,-228.088,175.964
0.915,1.019,2.467,51.758,-187.012,189.392
0.816,1.605,2.472,-17.700,-140.320,202.881
0.890,1.927,2.546,-72.021,-85.266,205.933
0.936,2.378,2.245,-105.591,-32.227,188.171
1.125,2.764,2.043,-106.995,13.000,154.541
1.293,2.871,1.779,-92.285,44.678,108.887
1.443,2.830,1.505,-68.054,62.561,53.955
1.495,2.605,1.274,-53.955,77.393,-1.038
1.421,2.235,1.029,-39.124,84.961,-51.514
1.223,1.789,0.914,-15.503,78.979,-99.792
1.045,1.414,0.725,-4.822,73.181,-141.235
0.910,1.008,0.603,2.930,72.571,-175.171
0.676,0.613,0.663,19.775,72.083,-198.303
0.568,0.284,0.489,11.353,78.064,-210.327
0.469,-0.098,0.316,-12.634,88.440,-208.923
0.392,-0.472,0.216,-30.518,98.633,-197.327
0.388,-0.724,0.184,-52.673,109.863,-177.246
0.414,-0.942,0.056,-86.914,118.958,-151.611
0.452,-1.054,-0.092,-117.188,122.131,-123.291
0.462,-1.124,-0.202,-134.155,117.310,-95.337
0.471,-1.122,-0.356,-142.883,110.168,-71.716
0.543,-1.070,-0.466,-141.724,101.074,-53.101
0.575,-0.968,-0.632,-126.892,89.355,-39.856
0.597,-0.885,-0.599,-97.717,75.623,-30.334
0.666,-0.834,-0.579,-70.129,63.110,-23.010
0.708,-0.816,-0.597,-49.683,51.880,-15.686
0.710,-0.792,-0.569,-28.442,38.574,-8.972
0.742,-0.724,-0.491,-9.766,25.635,-3.052
0.794,-0.626,-0.400,-2.747,15.259,3.906
0.838,-0.515,-0.363,-3.418,5.920,11.047
0.863,-0.401,-0.316,-3.052,-3.113,16.357
0.890,-0.279,-0.259,-1.404,-10.193,20.142
0.909,-0.181,-0.194,-0.732,-14.709,22.522
0.926,-0.093,-0.125,-1.770,-18.127,23.804
0.960,-0.007,-0.085,-5.798,-19.592,24.536
0.990,0.074,-0.024,-7.996,-20.203,23.865
1.009,0.139,0.027,-7.080,-20.325,21.179
1.004,0.191,0.050,-6.775,-20.020,17.090
,,,,,
0.726,-1.167,-0.915,94.482,-35.339,-3.967
0.611,-1.269,-0.951,94.727,-53.589,13.550
0.507,-1.355,-0.934,96.802,-74.280,31.372
0.430,-1.353,-0.907,98.450,-96.191,49.255
0.369,-1.260,-0.855,100.464,-120.361,67.200
0.318,-1.156,-0.770,105.652,-145.508,83.679
0.257,-1.053,-0.637,113.159,-170.105,99.365
0.178,-0.942,-0.462,122.681,-194.153,114.197
0.090,-0.777,-0.211,133.484,-216.858,127.014
0.133,-0.486,0.272,142.090,-240.601,139.099
0.192,-0.210,0.987,149.780,-260.925,150.696
0.319,-0.044,1.273,128.174,-260.010,161.377
0.411,0.204,1.549,74.768,-252.808,180.298
0.443,0.596,2.036,33.020,-236.938,195.740
0.598,1.036,2.632,-23.926,-204.712,206.238
0.755,1.488,2.930,-118.408,-154.968,214.661
0.736,2.327,2.782,-208.557,-87.402,220.093
0.757,3.023,2.672,-244.385,-16.724,198.303
0.996,3.833,2.486,-230.591,45.288,146.118
1.261,3.911,2.303,-188.354,92.285,75.928
1.405,3.771,2.090,-149.597,125.610,-3.113
1.251,3.392,1.845,-100.708,141.296,-84.290
1.147,2.658,1.668,-47.668,143.555,-159.546
0.856,1.999,1.520,-8.301,142.700,-222.900
0.598,1.393,1.495,1.282,145.813,-265.686
0.376,0.895,1.339,-9.338,153.748,-292.419
0.195,0.390,1.214,-21.240,160.400,-304.382
-0.080,-0.011,0.929,-41.626,176.941,-309.509
-0.230,-0.432,0.727,-64.636,198.792,-303.528
-0.278,-0.981,0.497,-89.600,221.924,-284.912
-0.273,-1.413,0.305,-128.052,242.004,-253.540
-0.157,-1.602,-0.007,-178.955,256.897,-206.421
-0.066,-1.845,-0.370,-210.632,261.841,-160.583
-0.337,-1.679,-0.808,-225.830,254.822,-116.272
-0.265,-2.039,-1.345,-209.045,239.563,-88.257
-0.016,-2.333,-1.744,-157.776,209.778,-80.627
0.131,-2.543,-1.815,-104.614,164.124,-67.810
0.211,-2.684,-1.890,-55.054,120.056,-48.706
0.179,-2.653,-2.035,-18.494,81.543,-20.142
0.142,-2.532,-2.276,37.292,41.382,3.174
0.083,-2.282,-2.193,81.116,-10.254,31.677
0.134,-2.249,-1.938,120.239,-58.655,57.800
0.144,-1.871,-1.675,133.667,-100.647,89.172
0.127,-1.595,-1.552,147.095,-137.268,110.840
0.074,-1.480,-1.278,168.274,-173.950,123.535
-0.018,-1.096,-0.884,169.495,-207.703,143.127
-0.057,-0.719,-0.575,176.208,-232.727,156.860
-0.101,-0.353,-0.165,188.599,-255.920,161.255
0.068,-0.075,0.633,208.557,-267.883,161.194
0.419,0.382,1.330,212.769,-267.212,161.743
0.567,0.594,1.770,164.429,-270.935,169.250
0.678,0.750,2.242,100.220,-263.672,184.143
0.780,1.304,2.735,23.254,-229.004,201.233
0.906,1.829,2.873,-61.279,-170.654,210.327
0.943,2.415,3.072,-129.395,-103.210,208.923
1.082,3.129,2.747,-166.809,-31.860,192.688
1.255,3.452,2.553,-173.340,33.020,149.231
1.381,3.589,2.142,-148.804,76.599,82.031
1.529,3.413,1.894,-99.304,102.356,5.249
1.391,2.825,1.611,-64.026,120.239,-65.613
1.199,2.260,1.204,-33.752,123.352,-133.911
1.018,1.681,1.009,4.333,125.183,-189.636
0.810,1.159,0.939,27.649,126.526,-230.103
0.459,0.730,0.607,28.931,133.972,-257.446
0.226,0.180,0.641,39.734,136.108,-269.592
0.136,-0.318,0.290,9.277,150.146,-269.348
0.056,-0.861,0.053,-12.817,161.255,-258.484
-0.020,-1.267,-0.052,-33.691,169.556,-234.863
0.040,-1.501,-0.227,-84.229,180.969,-197.510
0.023,-1.627,-0.647,-133.789,183.350,-151.062
0.024,-1.780,-1.028,-158.325,174.500,-108.215
0.015,-1.913,-1.359,-167.725,160.583,-69.031
0.100,-1.880,-1.631,-153.442,139.587,-41.870
0.245,-1.905,-1.794,-115.906,112.610,-26.306
0.261,-1.728,-1.826,-65.918,73.425,-13.916
0.302,-1.730,-1.915,-8.423,36.987,-9.521
0.331,-1.853,-1.934,51.147,2.319,-6.042
0.353,-1.859,-1.803,92.285,-40.100,10.681
0.314,-1.730,-1.583,119.202,-82.458,34.424
0.290,-1.542,-1.364,131.409,-116.577,57.861
0.260,-1.304,-1.212,143.494,-145.142,74.097
0.282,-1.133,-0.891,155.212,-172.058,86.609
0.305,-0.884,-0.574,156.921,-191.956,101.501
0.333,-0.654,-0.323,149.353,-205.139,115.601
0.400,-0.401,0.062,143.860,-218.262,128.479
0.482,-0.025,0.499,140.137,-230.469,136.963
0.549,0.279,0.866,129.150,-239.502,139.526
0.722,0.486,1.344,105.347,-238.464,145.142
0.808,0.756,1.710,73.669,-224.365,153.381
0.986,0.962,2.075,31.433,-195.251,159.302
1.022,1.296,2.277,-7.874,-157.166,162.048
1.136,1.648,2.346,-46.204,-111.694,157.104
1.173,2.040,2.226,-69.824,-61.829,141.846
1.265,2.325,2.144,-71.045,-16.479,114.685
1.407,2.343,1.870,-75.012,23.254,78.064
1.445,2.297,1.565,-66.833,50.781,35.461
1.420,2.043,1.390,-26.733,61.646,-13.977
1.313,1.731,1.156,-0.610,70.923,-60.303
1.174,1.421,0.891,18.433,78.247,-100.342
1.091,1.059,0.825,45.776,81.604,-133.484
0.930,0.709,0.660,53.711,88.623,-155.945
0.769,0.342,0.519,46.448,96.191,-167.542
0.640,0.008,0.353,34.058,102.539,-169.556
0.584,-0.361,0.197,23.743,106.934,-164.978
0.572,-0.701,0.056,0.366,109.924,-152.161
0.542,-0.897,-0.128,-34.851,111.084,-129.333
0.516,-1.035,-0.311,-60.364,107.910,-102.783
0.525,-1.085,-0.436,-79.468,102.783,-74.890
0.532,-1.065,-0.595,-93.506,97.168,-48.645
0.575,-0.998,-0.715,-92.407,84.839,-28.015
0.613,-0.950,-0.758,-78.552,68.726,-13.062
0.644,-0.918,-0.769,-59.204,52.002,-2.258
0.672,-0.854,-0.756,-36.987,35.400,6.531
0.689,-0.775,-0.708,-15.015,19.226,14.709
0.704,-0.705,-0.653,1.770,4.944,22.522
0.728,-0.614,-0.562,16.418,-7.690,29.724
0.762,-0.485,-0.413,26.245,-20.874,36.499
0.802,-0.344,-0.287,26.367,-32.898,43.335
0.823,-0.203,-0.192,20.996,-41.870,49.438
,,,,,
0.575,-1.274,-0.907,106.079,-45.837,10.559
0.500,-1.333,-0.895,113.342,-64.819,25.574
0.434,-1.298,-0.824,118.774,-87.097,41.992
0.435,-1.188,-0.693,119.690,-110.229,61.096
0.476,-1.034,-0.483,115.784,-133.789,82.092
0.460,-0.801,-0.219,111.450,-157.837,102.783
0.382,-0.553,0.014,104.980,-180.725,120.728
0.351,-0.316,0.308,97.168,-198.669,134.583
0.476,-0.096,0.708,86.182,-208.801,147.644
0.537,0.138,1.040,66.711,-211.121,159.363
0.546,0.456,1.359,29.114,-202.209,172.363
0.553,0.902,1.680,-13.855,-181.396,184.082
0.719,1.330,2.067,-53.040,-150.940,188.171
0.929,1.778,2.441,-95.520,-113.770,184.814
1.044,2.263,2.484,-154.297,-65.857,179.626
1.098,2.693,2.448,-191.956,-15.686,161.804
1.152,2.993,2.358,-188.660,26.428,122.253
1.235,3.123,2.208,-163.452,62.988,64.148
1.277,3.083,1.986,-131.287,91.736,-3.967
1.276,2.839,1.844,-87.524,109.253,-72.632
1.177,2.421,1.794,-50.354,119.385,-133.057
0.977,1.978,1.710,-40.344,128.479,-179.810
0.786,1.504,1.640,-50.049,138.733,-214.172
0.626,1.070,1.544,-69.092,151.245,-237.671
0.441,0.705,1.388,-90.393,165.405,-254.944
