aX,aY,aZ,gX,gY,gZ
0.497,-0.543,0.657,-7.141,-4.761,1.953
0.486,-0.502,0.659,-8.484,-5.859,0.916
0.509,-0.490,0.657,-9.338,-5.188,-0.977
0.547,-0.549,0.671,-7.690,-4.089,-2.686
0.571,-0.575,0.676,-5.981,-3.113,-2.747
0.579,-0.548,0.655,-5.676,-1.770,-2.136
0.571,-0.537,0.643,-3.784,-2.075,-2.747
0.551,-0.529,0.641,-0.732,-3.357,-3.784
0.527,-0.494,0.616,1.831,-4.517,-4.639
0.510,-0.480,0.594,4.211,-6.165,-6.287
0.498,-0.506,0.627,11.353,-8.911,-9.033
0.502,-0.524,0.665,19.165,-11.047,-11.902
0.501,-0.526,0.658,23.682,-12.939,-14.221
0.473,-0.566,0.651,24.231,-14.893,-15.564
0.462,-0.621,0.657,21.667,-14.771,-15.381
0.443,-0.627,0.662,16.113,-13.855,-13.550
0.459,-0.582,0.682,10.620,-12.634,-11.047
0.416,-0.603,0.632,5.371,-11.047,-9.094
0.446,-0.576,0.628,0.977,-10.193,-7.935
0.430,-0.565,0.651,-0.793,-10.925,-6.592
0.435,-0.514,0.641,-0.061,-11.169,-6.897
,,,,,
-0.933,-0.825,0.991,36.133,60.242,25.574
-0.964,-0.833,0.928,24.902,79.590,33.936
-1.004,-1.100,1.057,28.748,88.989,40.161
-0.983,-0.949,1.167,24.597,103.760,49.805
-0.998,-1.075,1.305,31.372,118.286,54.626
-1.042,-1.157,1.326,45.532,132.385,63.354
-1.018,-1.193,1.259,58.777,148.132,72.083
-1.002,-1.237,1.231,75.928,157.104,81.604
-0.997,-1.345,1.244,90.637,163.208,91.675
-0.958,-1.452,1.257,94.543,170.959,104.248
-0.845,-1.523,1.275,93.506,175.903,117.554
-0.743,-1.553,1.341,91.919,176.636,128.967
-0.664,-1.587,1.385,87.769,175.049,137.878
-0.510,-1.516,1.532,81.421,170.898,147.339
-0.250,-1.386,1.381,66.101,172.363,156.311
-0.028,-1.398,1.415,60.730,171.448,163.086
0.189,-1.349,1.470,65.918,176.147,169.189
0.285,-1.363,1.458,68.787,189.331,174.072
0.444,-1.549,1.274,57.251,195.740,180.420
0.722,-1.881,1.504,60.547,183.411,186.157
0.968,-1.855,1.565,70.313,162.476,197.754
0.917,-1.546,1.536,71.716,143.616,217.285
0.913,-1.275,1.528,71.228,136.047,239.563
0.976,-0.991,1.487,53.467,141.846,261.841
1.029,-0.783,1.410,25.757,150.635,287.048
0.985,-0.534,1.370,-1.953,170.715,309.387
0.896,-0.082,1.009,-35.767,198.730,326.965
0.573,0.404,0.775,-69.336,211.975,335.022
0.364,0.688,0.494,-85.815,220.581,328.186
0.504,1.050,-0.062,-86.426,223.938,300.598
0.474,1.003,-0.308,-74.646,209.717,251.892
0.386,1.404,-0.427,-97.290,177.795,208.862
0.556,1.845,-0.705,-96.069,163.269,153.259
0.879,2.395,-1.277,-94.421,163.574,93.750
0.903,2.336,-0.879,-112.732,122.437,19.104
-0.178,0.866,0.434,-75.745,75.439,-85.754
-0.809,0.515,0.243,-4.761,82.031,-162.598
-1.390,0.050,-0.537,-81.299,118.591,-171.448
-2.282,-0.604,-0.732,-114.136,103.821,-183.472
-2.491,-1.187,-0.510,-105.896,57.495,-188.965
-2.721,-1.778,-0.470,-93.445,10.620,-180.603
-3.248,-1.978,0.257,-40.344,-67.932,-155.884
-3.448,-2.130,2.215,34.424,-113.342,-122.498
-2.786,-3.052,1.516,102.112,-51.147,-88.623
-2.426,-3.088,0.765,64.636,-2.319,-23.987
-1.933,-2.420,1.512,13.672,-19.592,39.978
-1.661,-1.833,1.261,-63.477,-12.573,87.402
-1.089,-1.128,0.928,-151.367,16.663,121.826
-0.743,-0.077,0.439,-181.274,35.583,141.418
-0.357,0.235,0.093,-127.686,34.058,131.836
0.086,0.540,0.093,-76.660,20.630,115.906
0.506,0.522,0.298,-45.715,7.874,102.539
0.555,0.760,0.262,-28.137,0.000,86.548
0.527,0.538,0.688,-3.540,-11.780,60.059
0.634,0.289,0.760,20.325,-9.644,37.781
0.693,0.236,0.523,2.014,-4.089,26.489
0.643,0.013,0.770,17.517,-15.381,8.667
0.631,-0.219,0.713,24.597,-23.132,-7.568
0.594,-0.443,0.847,30.945,-28.748,-18.616
0.554,-0.600,0.944,33.142,-27.405,-22.766
0.525,-0.717,1.024,29.480,-21.301,-20.081
0.479,-0.766,1.069,24.597,-13.733,-14.587
0.423,-0.713,0.971,18.372,-5.615,-9.521
0.431,-0.723,0.950,12.268,0.183,-5.493
0.434,-0.764,0.913,10.620,6.470,-2.380
0.410,-0.739,0.808,4.761,17.700,2.441
0.432,-0.694,0.846,-1.221,27.893,8.057
